Country Name, Country Code, Continent, Population
China, CHN, Asia, 1439323776
India, IND, Asia, 1380004385	
United States, USA, America, 331002651	
Indonesia, IDN, Asia, 273523615	
Pakistan, PAK, Asia, 220892340
Brazil, BRA, America, 212559417
Nigeria, NGA, Africa, 206139589	
Bangladesh, BGD, Asia, 164689383
Russia, RUS, Europe, 145934462	
Mexico, MEX, America, 128932753	
Japan, JPN, Asia, 126476461	
Ethiopia, ETH, Africa, 114963588	
Philippines, PHL, Asia, 109581078
Egypt, EGY, Africa, 102334404
Vietnam, VNM, Asia, 97338579
DR Congo, COD, Africa, 89561403
Turkey, TUR, Asia, 84339067
Iran, IRN, Asia, 83992949	
Germany, DEU, Europe, 83783942
Thailand, THA, Asia, 69799978
United Kingdom, GBR, Europe, 67886011
France, FRA, Europe, 65273511
Italy, ITA, Europe, 60461826